0.95864 0.864504
0.855751 0.606459
0.793098 0.59856
0.831468 0.48428
0.930353 0.450076
0.993594 0.334149
0.837409 0.331691
0.732807 0.294348
0.45148 0.0245013
0.32201 0.0268741
0.239009 0.024177
0.216821 0.109844
0.0420144 0.135677
0.234501 0.250937
0.495937 0.211152
0.679618 0.344193
0.716273 0.397483
0.722283 0.41042
0.724608 0.484993
0.672425 0.455081
0.504001 0.747072
0.277536 0.541303
0.110933 0.449112
0.0353076 0.41439
0.147891 0.604788
0.300279 0.793387
0.267436 0.797888
0.104656 0.950547
0.226271 0.935873
0.34319 0.996711
0.421666 0.947776
0.538043 0.891786
0.654605 0.938998
0.756999 0.888632
0.95864 0.864504
